Temperature,Humidity,Holidays    0 for close   1 for open,year,month,day,hour,minute,second,weekday,Load
24,0.94,1,2009,1,1,1,0,0,3,30360
24,0.95,1,2009,1,1,2,0,0,3,29155
24,0.96,1,2009,1,1,3,0,0,3,28086
24,0.96,1,2009,1,1,4,0,0,3,28031
24,0.96,1,2009,1,1,5,0,0,3,27730
24,0.96,1,2009,1,1,6,0,0,3,30490
24,0.93,1,2009,1,1,7,0,0,3,37081
24,0.9,1,2009,1,1,8,0,0,3,46975
25,0.87,1,2009,1,1,9,0,0,3,57261
28,0.883333333,1,2009,1,1,10,0,0,3,63679
30,0.896666667,1,2009,1,1,11,0,0,3,65123
30,0.91,1,2009,1,1,12,0,0,3,65142
30,0.92,1,2009,1,1,13,0,0,3,64745
28,0.93,1,2009,1,1,14,0,0,3,64783
29,0.94,1,2009,1,1,15,0,0,3,64607
29,0.953333333,1,2009,1,1,16,0,0,3,61089
29,0.966666667,1,2009,1,1,17,0,0,3,52406
28,0.98,1,2009,1,1,18,0,0,3,50328
27,0.976666667,1,2009,1,1,19,0,0,3,52425
25,0.973333333,1,2009,1,1,20,0,0,3,50457
25,0.97,1,2009,1,1,21,0,0,3,41577
25,0.973333333,1,2009,1,1,22,0,0,3,36002
25,0.976666667,1,2009,1,1,23,0,0,3,33522
24,0.98,1,2009,2,1,0,0,0,6,30625
24,0.98,1,2009,2,1,1,0,0,6,29060
24,0.98,1,2009,2,1,2,0,0,6,27586
24,0.98,1,2009,2,1,3,0,0,6,26846
23,0.973333333,1,2009,2,1,4,0,0,6,26561
23,0.966666667,1,2009,2,1,5,0,0,6,26626
23,0.96,1,2009,2,1,6,0,0,6,29623
23,0.94,1,2009,2,1,7,0,0,6,36612
23,0.92,1,2009,2,1,8,0,0,6,48735
24,0.9,1,2009,2,1,9,0,0,6,57640
25,0.9,1,2009,2,1,10,0,0,6,62674
27,0.9,1,2009,2,1,11,0,0,6,64199
28,0.9,1,2009,2,1,12,0,0,6,63426
29,0.913333333,1,2009,2,1,13,0,0,6,62501
29,0.926666667,1,2009,2,1,14,0,0,6,63652
28,0.94,1,2009,2,1,15,0,0,6,63210
28,0.95,1,2009,2,1,16,0,0,6,62199
28,0.96,1,2009,2,1,17,0,0,6,54278
27,0.97,1,2009,2,1,18,0,0,6,50700
27,0.97,1,2009,2,1,19,0,0,6,52979
26,0.97,1,2009,2,1,20,0,0,6,50947
25,0.97,1,2009,2,1,21,0,0,6,41600
24,0.973333333,1,2009,2,1,22,0,0,6,35936
24,0.976666667,1,2009,2,1,23,0,0,6,32087
24,0.98,1,2009,3,1,0,0,0,6,29645
24,0.976666667,1,2009,3,1,1,0,0,6,28288
24,0.973333333,1,2009,3,1,2,0,0,6,26990
24,0.97,1,2009,3,1,3,0,0,6,26284
23,0.973333333,1,2009,3,1,4,0,0,6,26047
23,0.976666667,1,2009,3,1,5,0,0,6,25965
23,0.98,1,2009,3,1,6,0,0,6,27347
23,0.976666667,1,2009,3,1,7,0,0,6,29320
24,0.973333333,1,2009,3,1,8,0,0,6,33989
24,0.97,1,2009,3,1,9,0,0,6,44474
25,0.966666667,1,2009,3,1,10,0,0,6,51617
26,0.963333333,1,2009,3,1,11,0,0,6,52517
26,0.96,1,2009,3,1,12,0,0,6,50691
26,0.963333333,1,2009,3,1,13,0,0,6,47800
27,0.966666667,1,2009,3,1,14,0,0,6,47629
27,0.97,1,2009,3,1,15,0,0,6,46962
26,0.97,1,2009,3,1,16,0,0,6,46680
26,0.97,1,2009,3,1,17,0,0,6,45825
25,0.97,1,2009,3,1,18,0,0,6,46635
25,0.973333333,1,2009,3,1,19,0,0,6,50761
24,0.976666667,1,2009,3,1,20,0,0,6,49260
24,0.98,1,2009,3,1,21,0,0,6,40557
24,0.976666667,1,2009,3,1,22,0,0,6,34675
23,0.973333333,1,2009,3,1,23,0,0,6,31996
23,0.97,0,2009,4,1,0,0,0,2,29536
23,0.973333333,0,2009,4,1,1,0,0,2,28364
24,0.976666667,0,2009,4,1,2,0,0,2,26949
24,0.98,0,2009,4,1,3,0,0,2,25615
24,0.976666667,0,2009,4,1,4,0,0,2,25146
24,0.973333333,0,2009,4,1,5,0,0,2,24969
24,0.97,0,2009,4,1,6,0,0,2,24833
24,0.97,0,2009,4,1,7,0,0,2,23998
24,0.97,0,2009,4,1,8,0,0,2,25935
25,0.97,0,2009,4,1,9,0,0,2,35521
26,0.956666667,0,2009,4,1,10,0,0,2,41549
28,0.943333333,0,2009,4,1,11,0,0,2,42181
30,0.93,0,2009,4,1,12,0,0,2,42797
29,0.906666667,0,2009,4,1,13,0,0,2,42573
28,0.883333333,0,2009,4,1,14,0,0,2,42768
