Tmestamp,Predicted ANN load,Target Load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,ANN APEs,Proposed LSTM APEs,LSTM model 1 APEs,LSTM model 2 APEs,LSTM model 3 APEs,CNN-LSTM APEs
8/8/2010 15:00,55873.676,56654.4294,56250.562,53102.1,49560.64,51231.11,58262.32,1.37809772,0.71286112,6.270170643,12.52115585,9.572630874,2.838066886
8/8/2010 16:00,55375.367,55506.38486,55601.86,51834.98,49501.953,53004.355,57855.766,0.236041061,0.172007491,6.614382957,10.81755167,4.507643339,4.232632238
8/8/2010 17:00,54353.184,53416.98683,54289.125,50966.832,49488.973,54890.824,56934.08,1.752620703,1.632698177,4.586845825,7.353491957,2.75911701,6.584222321
8/8/2010 18:00,52737.86,52762.8889,53498.82,50238.887,49636.63,56643.51,54699.85,0.047436561,1.394789246,4.783668887,5.925109419,7.354830603,3.671067184
8/8/2010 19:00,51927.098,53610.18526,53080.07,49706.473,50177.53,57007.88,53944.824,3.139491594,0.988833106,7.281661574,6.402990856,6.337778397,0.624207393
8/8/2010 20:00,52145.613,53125.62482,53897.61,49296.55,51047.63,57214.414,54762.902,1.844706436,1.453131483,7.207585479,3.911473657,7.696453818,3.081897268
8/8/2010 21:00,51529.36,51280.85355,52026.863,49284.074,52457.742,57137.4,54091.46,0.484598896,1.454752404,3.893811065,2.294986079,11.42053231,5.480810586
8/8/2010 22:00,50160.96,50459.17357,50642.742,49557.13,54956.426,56922.15,51964.28,0.590999711,0.36379595,1.787670123,8.912655741,12.80832795,2.982820216
8/8/2010 23:00,49462.273,49990.64782,50162.297,50324.633,56478.42,56666.883,50991.203,1.056947335,0.343362584,0.668095323,12.97797181,13.35496832,2.001484725
8/9/2010 0:00,49001.562,49585.28309,49799.344,51409.414,56903.07,56160.133,50365.145,1.177206327,0.431702507,3.678774823,14.75798151,13.25968009,1.572768897
8/9/2010 1:00,48618.496,49369.98807,49044.715,52890.406,57049.637,55127.754,51700.43,1.522163767,0.658847779,7.130684182,15.55529833,11.66248191,4.720361542
8/9/2010 2:00,48431.094,49263.02497,48938.965,54914.08,57060.816,53986.3,51330.42,1.688753321,0.657815817,11.47118967,15.82889202,9.587870483,4.196646534
8/9/2010 3:00,48418.68,49102.6781,48867.133,56485.016,57018.9,53824.94,51203.168,1.392995508,0.47969909,15.03449137,16.12177218,9.61711679,4.277750178
8/9/2010 4:00,48474.367,49122.81923,48765.727,57096.133,56849.434,54006.63,51208.715,1.32006314,0.726937573,16.23138471,15.72917616,9.942040882,4.246286762
8/9/2010 5:00,48757.266,49406.16389,49018.484,57279.598,56388.938,53227.758,51232.316,1.313394603,0.784679197,15.9361373,14.13340677,7.735055323,3.696202996
8/9/2010 6:00,49431.477,50364.33426,49904.21,57259.594,55448.85,51494.184,51595.25,1.852217991,0.913591467,13.69075923,10.09546898,2.243352874,2.444022656
8/9/2010 7:00,51070.13,52385.87819,52022.9,57110.06,54249.758,50617.277,53043.03,2.511646718,0.692893204,9.018044506,3.557981415,3.376102971,1.254444581
8/9/2010 8:00,53794.105,54364.20668,54840.89,56931.184,54017.17,50067.965,55273.94,1.048671019,0.876833029,4.7218151,0.638355089,7.902702794,1.67340494
8/9/2010 9:00,55535.445,56352.11687,56497.113,56751.71,54094.008,49723.492,57185.906,1.449230154,0.257303786,0.709100478,4.007141161,11.76286755,1.479605694
8/9/2010 10:00,56735.855,56877.15512,56861.156,56482.156,53300.63,49407.66,58477.36,0.248430358,0.028129255,0.694477632,6.288157543,13.13268061,2.813440434
8/9/2010 11:00,56820.812,56781.14254,57068.54,55912.11,51544.12,49241.273,58345.844,0.069863793,0.506149484,1.530494987,9.223172176,13.27882674,2.755670968
8/9/2010 12:00,56498.49,56531.8227,56849.484,54753.21,50750.062,49157.355,57814.68,0.058962719,0.561915899,3.146215026,10.22744434,13.04480795,2.269265767
8/9/2010 13:00,56017.914,56654.82049,56374.67,53731.957,50215.87,49338.39,57275.266,1.124187641,0.49448659,5.159072899,11.36522971,12.91404761,1.095132779
8/9/2010 14:00,55811.82,56589.50847,56231.3,53590.594,49780.14,50040.25,57334.613,1.374262635,0.632994489,5.299417774,12.0329168,11.57327329,1.316683163
8/9/2010 15:00,55458.37,56467.68395,55873.758,53049.01,49404.848,51300.42,57024.71,1.787418713,1.051797964,6.054213155,12.5077486,9.150833873,0.98645103
8/9/2010 16:00,54867.848,55478.81302,55488.375,51779.008,49283.21,52953.164,56992.35,1.101258276,0.017235372,6.668861172,11.16751185,4.552456843,2.728135116
8/9/2010 17:00,53792.293,53741.78703,54379.953,50788.44,49240.316,54861.883,56617.848,0.093978955,1.18746697,5.495438826,8.376109688,2.084217946,5.351628833
8/9/2010 18:00,52727.1,53835.25753,53839.203,50114.54,49399.86,56245.875,54493.742,2.058423384,0.007328784,6.911302557,8.238834053,4.477767137,1.223147246
8/9/2010 19:00,52748.742,53848.55458,54060.617,49648.85,49830.035,56675.23,54751.625,2.042418016,0.39381265,7.799103639,7.462632212,5.249306025,1.677056008
