Tmestamp,Predicted ANN load,Target Load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load
8/8/2010 15:00,55873.676,56654.4294,56250.562,53102.1,49560.64,51231.11,58262.32
8/8/2010 16:00,55375.367,55506.38486,55601.86,51834.98,49501.953,53004.355,57855.766
8/8/2010 17:00,54353.184,53416.98683,54289.125,50966.832,49488.973,54890.824,56934.08
8/8/2010 18:00,52737.86,52762.8889,53498.82,50238.887,49636.63,56643.51,54699.85
8/8/2010 19:00,51927.098,53610.18526,53080.07,49706.473,50177.53,57007.88,53944.824
8/8/2010 20:00,52145.613,53125.62482,53897.61,49296.55,51047.63,57214.414,54762.902
8/8/2010 21:00,51529.36,51280.85355,52026.863,49284.074,52457.742,57137.4,54091.46
8/8/2010 22:00,50160.96,50459.17357,50642.742,49557.13,54956.426,56922.15,51964.28
8/8/2010 23:00,49462.273,49990.64782,50162.297,50324.633,56478.42,56666.883,50991.203
8/9/2010 00:00,49001.562,49585.28309,49799.344,51409.414,56903.07,56160.133,50365.145
8/9/2010 01:00,48618.496,49369.98807,49044.715,52890.406,57049.637,55127.754,51700.43
8/9/2010 02:00,48431.094,49263.02497,48938.965,54914.08,57060.816,53986.3,51330.42
8/9/2010 03:00,48418.68,49102.6781,48867.133,56485.016,57018.9,53824.94,51203.168
8/9/2010 04:00,48474.367,49122.81923,48765.727,57096.133,56849.434,54006.63,51208.715
8/9/2010 05:00,48757.266,49406.16389,49018.484,57279.598,56388.938,53227.758,51232.316
8/9/2010 06:00,49431.477,50364.33426,49904.21,57259.594,55448.85,51494.184,51595.25
8/9/2010 07:00,51070.13,52385.87819,52022.9,57110.06,54249.758,50617.277,53043.03
8/9/2010 08:00,53794.105,54364.20668,54840.89,56931.184,54017.17,50067.965,55273.94
8/9/2010 09:00,55535.445,56352.11687,56497.113,56751.71,54094.008,49723.492,57185.906
8/9/2010 10:00,56735.855,56877.15512,56861.156,56482.156,53300.63,49407.66,58477.36
8/9/2010 11:00,56820.812,56781.14254,57068.54,55912.11,51544.12,49241.273,58345.844
8/9/2010 12:00,56498.49,56531.8227,56849.484,54753.21,50750.062,49157.355,57814.68
8/9/2010 13:00,56017.914,56654.82049,56374.67,53731.957,50215.87,49338.39,57275.266
8/9/2010 14:00,55811.82,56589.50847,56231.3,53590.594,49780.14,50040.25,57334.613
8/9/2010 15:00,55458.37,56467.68395,55873.758,53049.01,49404.848,51300.42,57024.71
8/9/2010 16:00,54867.848,55478.81302,55488.375,51779.008,49283.21,52953.164,56992.35
8/9/2010 17:00,53792.293,53741.78703,54379.953,50788.44,49240.316,54861.883,56617.848
8/9/2010 18:00,52727.1,53835.25753,53839.203,50114.54,49399.86,56245.875,54493.742
8/9/2010 19:00,52748.742,53848.55458,54060.617,49648.85,49830.035,56675.23,54751.625
8/9/2010 20:00,52504.508,53165.1249,54045.01,49208.49,50846.36,56948.613,54669.938
8/9/2010 21:00,51832.72,51250.73962,51981.285,49182.875,52672.023,56997.754,53792.69
8/9/2010 22:00,50337.074,50495.15385,50638.64,49312.07,55081.477,57024.156,51564.543
8/9/2010 23:00,49563.62,49880.556,50211.4,49779.023,56462.137,56931.535,50701.91
8/10/2010 00:00,48942.145,49533.07258,49691.86,50657.227,56979.69,56603.406,49987.42
8/10/2010 01:00,48551.07,49314.64885,49071.164,52085.984,57176.06,55710.695,51137.094
8/10/2010 02:00,48365.703,49174.05201,48916.32,54096.42,57233.324,54456.03,50763.695
8/10/2010 03:00,48385.49,49050.46759,48828.02,56211.688,57324.523,54073.58,50729.035
8/10/2010 04:00,48463.664,49110.69544,48741.023,57021.76,57365.945,54154.02,50598.395
8/10/2010 05:00,48815.58,49369.01035,49012.023,57192.38,57275.906,53352.492,50673.863
8/10/2010 06:00,49492.836,50215.72008,49811.496,57051.473,56632.72,51657.766,50979.406
8/10/2010 07:00,51010.285,52380.79402,51678.984,56838.42,55084.973,50878.21,52272.043
8/10/2010 08:00,53869.58,54490.52873,54738.387,56830.754,53953.836,50401.65,54868.47
