Tmestamp,Target Load,Predicted ANN load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD_LSTM
8/8/2010 15:00,56654.4294,55873.676,56250.562,53102.1,49560.64,51231.11,56031.28,50414.945
8/8/2010 16:00,55506.38486,55375.367,55601.86,51834.98,49501.953,53004.355,55594.76,50414.945
8/8/2010 17:00,53416.98683,54353.184,54289.125,50966.832,49488.973,54890.824,54569.805,50414.945
8/8/2010 18:00,52762.8889,52737.86,53498.82,50238.887,49636.63,56643.51,52860.355,50414.945
8/8/2010 19:00,53610.18526,51927.098,53080.07,49706.473,50177.53,57007.88,52215.633,50414.945
8/8/2010 20:00,53125.62482,52145.613,53897.61,49296.55,51047.63,57214.414,52696.73,50414.945
8/8/2010 21:00,51280.85355,51529.36,52026.863,49284.074,52457.742,57137.4,52184.785,50414.945
8/8/2010 22:00,50459.17357,50160.96,50642.742,49557.13,54956.426,56922.15,50629.816,50414.945
8/8/2010 23:00,49990.64782,49462.273,50162.297,50324.633,56478.42,56666.883,49803.57,50414.945
9/8/2010 0:00,49585.28309,49001.562,49799.344,51409.414,56903.07,56160.133,49252.523,50414.945
9/8/2010 1:00,49369.98807,48618.496,49044.715,52890.406,57049.637,55127.754,48776.324,49782.914
9/8/2010 2:00,49263.02497,48431.094,48938.965,54914.08,57060.816,53986.3,48680.65,49782.914
9/8/2010 3:00,49102.6781,48418.68,48867.133,56485.016,57018.9,53824.94,48738.137,49782.914
9/8/2010 4:00,49122.81923,48474.367,48765.727,57096.133,56849.434,54006.63,48772.69,49782.914
9/8/2010 5:00,49406.16389,48757.266,49018.484,57279.598,56388.938,53227.758,49099.13,49782.914
9/8/2010 6:00,50364.33426,49431.477,49904.21,57259.594,55448.85,51494.184,49876.082,49782.914
9/8/2010 7:00,52385.87819,51070.13,52022.9,57110.06,54249.758,50617.277,51620.875,49782.914
9/8/2010 8:00,54364.20668,53794.105,54840.89,56931.184,54017.17,50067.965,54136.438,49782.914
9/8/2010 9:00,56352.11687,55535.445,56497.113,56751.71,54094.008,49723.492,55685.016,49789.117
