Predicted ANN load,Target Load,LSTM Load,Tmestamp,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load,EMD-LSTM
56185.402,56654.4294,56741.234,8/8/2010 15:00,[53275.0],[49880.418],[50934.54],[56031.28],50414.945
55762.99,55506.38486,56477.277,8/8/2010 16:00,[51600.523],[49673.26],[52666.6],[55594.76],50414.945
54762.297,53416.98683,55310.305,8/8/2010 17:00,[50783.305],[49476.824],[55189.46],[54569.805],50414.945
52833.344,52762.8889,53098.492,8/8/2010 18:00,[50221.297],[49338.242],[56671.18],[52860.355],50414.945
52042.383,53610.18526,52416.625,8/8/2010 19:00,[49797.883],[49672.33],[56921.086],[52215.633],50414.945
52395.227,53125.62482,52907.438,8/8/2010 20:00,[49567.81],[50998.85],[57092.605],[52696.73],50414.945
51744.03,51280.85355,52287.613,8/8/2010 21:00,[49489.062],[52878.125],[57114.86],[52184.785],50414.945
50259.375,50459.17357,50677.3,8/8/2010 22:00,[49524.51],[54991.49],[57036.66],[50629.816],50414.945
49576.312,49990.64782,49794.926,8/8/2010 23:00,[49840.707],[56528.895],[56885.66],[49803.57],50414.945
49162.938,49585.28309,49268.453,8/9/2010 0:00,[50737.574],[56811.957],[56492.56],[49252.523],50414.945
48757.094,49369.98807,49335.633,8/9/2010 1:00,[52599.816],[56890.36],[55513.32],[48776.324],49782.914
48696.4,49263.02497,49158.973,8/9/2010 2:00,[54878.84],[56737.63],[54229.52],[48680.65],49782.914
48781.613,49102.6781,49198.305,8/9/2010 3:00,[56204.21],[56423.137],[54005.74],[48738.137],49782.914
48963.285,49122.81923,49372.723,8/9/2010 4:00,[56850.625],[55996.22],[54193.484],[48772.69],49782.914
49187.598,49406.16389,49821.7,8/9/2010 5:00,[57094.805],[55202.59],[53907.734],[49099.13],49782.914
49753.855,50364.33426,50630.69,8/9/2010 6:00,[57193.773],[54402.043],[52103.797],[49876.082],49782.914
51254.92,52385.87819,52367.34,8/9/2010 7:00,[57180.766],[53836.27],[51148.367],[51620.875],49782.914
54016.65,54364.20668,54912.55,8/9/2010 8:00,[57117.914],[54313.094],[50477.617],[54136.438],49782.914
55814.438,56352.11687,56417.887,8/9/2010 9:00,[56943.87],[54323.402],[50038.58],[55685.016],49789.117
56844.273,56877.15512,57242.28,8/9/2010 10:00,[56598.484],[53787.777],[49683.74],[56838.934],49789.117
56901.723,56781.14254,57024.785,8/9/2010 11:00,[55796.87],[52072.91],[49497.457],[56885.727],49789.117
56647.27,56531.8227,56751.07,8/9/2010 12:00,[54515.402],[51190.297],[49301.715],[56506.523],49789.117
56280.297,56654.82049,56487.53,8/9/2010 13:00,[53726.2],[50556.242],[49376.92],[56048.74],49789.117
56124.7,56589.50847,56550.14,8/9/2010 14:00,[53707.055],[50059.29],[49853.336],[55932.797],49789.117
55822.4,56467.68395,56471.15,8/9/2010 15:00,[53061.805],[49699.],[50770.586],[55676.86],49789.117
55445.547,55478.81302,56311.68,8/9/2010 16:00,[51449.03],[49510.188],[52086.117],[55396.88],49822.734
54513.32,53741.78703,55303.207,8/9/2010 17:00,[50553.516],[49311.617],[54191.992],[54550.992],49822.734
52987.01,53835.25753,53456.953,8/9/2010 18:00,[50041.832],[49258.406],[56167.863],[53086.01],49822.734
52888.04,53848.55458,53316.258,8/9/2010 19:00,[49693.85],[49389.93],[56663.812],[53030.242],49822.734
52613.36,53165.1249,52966.9,8/9/2010 20:00,[49600.918],[50214.062],[56918.836],[52891.734],49822.734
51846.33,51250.73962,52128.504,8/9/2010 21:00,[49597.54],[52221.15],[57015.57],[52234.19],40884.965
50315.707,50495.15385,50500.824,8/9/2010 22:00,[49644.133],[55075.93],[57072.543],[50596.82],40885.117
49663.19,49880.556,49682.266,8/9/2010 23:00,[50002.57],[56447.05],[57023.867],[49813.234],40885.207
49164.555,49533.07258,49029.047,8/10/2010 0:00,[50808.113],[56794.055],[56727.816],[49114.758],40887.438
48836.03,49314.64885,49430.37,8/10/2010 1:00,[52467.426],[56921.562],[55932.465],[48798.11],49820.605
48783.926,49174.05201,49215.133,8/10/2010 2:00,[54523.992],[56819.836],[54841.5],[48675.996],49820.605
49022.56,49050.46759,49187.633,8/10/2010 3:00,[55731.21],[56976.79],[54258.64],[48703.85],49820.605
49075.273,49110.69544,49264.13,8/10/2010 4:00,[56384.965],[56862.086],[54254.06],[48747.336],49820.605
49358.746,49369.01035,49675.402,8/10/2010 5:00,[56837.87],[56455.402],[53736.48],[49106.086],49820.605
49888.695,50215.72008,50399.86,8/10/2010 6:00,[56964.914],[55513.08],[51865.26],[49822.996],49820.605
51204.64,52380.79402,51956.363,8/10/2010 7:00,[56951.145],[54253.957],[51016.984],[51431.414],49820.605
54068.125,54490.52873,54788.15,8/10/2010 8:00,[56930.03],[54029.664],[50434.773],[54148.65],49820.605
