Tmestamp,Predicted ANN load,Proposed LSTM Load,LSTM_MODEL_1_Load,LSTM_MODEL_2_Load,LSTM_MODEL_3_Load,CNN_LSTM_MODEL_Load
8/8/2010 15:00,55873.676,56250.562,53102.1,49560.64,51231.11,58262.32
8/8/2010 16:00,55375.367,55601.86,51834.98,49501.953,53004.355,57855.766
8/8/2010 17:00,54353.184,54289.125,50966.832,49488.973,54890.824,56934.08
8/8/2010 18:00,52737.86,53498.82,50238.887,49636.63,56643.51,54699.85
8/8/2010 19:00,51927.098,53080.07,49706.473,50177.53,57007.88,53944.824
8/8/2010 20:00,52145.613,53897.61,49296.55,51047.63,57214.414,54762.902
8/8/2010 15:00,56654.4294,56654.4294,56654.4294,56654.4294,56654.4294,56654.4294
8/8/2010 16:00,55506.38486,55506.38486,55506.38486,55506.38486,55506.38486,55506.38486
8/8/2010 17:00,53416.98683,53416.98683,53416.98683,53416.98683,53416.98683,53416.98683
8/8/2010 18:00,52762.8889,52762.8889,52762.8889,52762.8889,52762.8889,52762.8889
8/8/2010 19:00,53610.18526,53610.18526,53610.18526,53610.18526,53610.18526,53610.18526
8/8/2010 20:00,53125.62482,53125.62482,53125.62482,53125.62482,53125.62482,53125.62482
